Project ID,File Name,Row Count,Column Count,Missing modified_peptide,Missing isolation_target,% Missing modified_peptide,% Missing isolation_target,Columns
PXD026629,20180904YLJ-VSV4h-02.ipc,13878,27,1908,2792,13.75,20.12,"['index', 'scan', 'header', 'rt', 'frag_type', 'collision_energy', 'precursor_mz', 'precursor_charge', 'precursor_intensity', 'lower_offset', 'upper_offset', 'isolation_target', 'mz', 'intensity', 'scale_factor', 'peptide', 'modified_peptide', 'peptide_observed_mz', 'peptide_calc_mz', 'delta_mass', 'retention', 'expectation', 'hyperscore', 'nextscore', 'probability', 'auc_intensity', 'protein']"
PXD026629,20180904YLJ-VSV0h-03.ipc,14151,27,1702,3025,12.03,21.38,"['index', 'scan', 'header', 'rt', 'frag_type', 'collision_energy', 'precursor_mz', 'precursor_charge', 'precursor_intensity', 'lower_offset', 'upper_offset', 'isolation_target', 'mz', 'intensity', 'scale_factor', 'peptide', 'modified_peptide', 'peptide_observed_mz', 'peptide_calc_mz', 'delta_mass', 'retention', 'expectation', 'hyperscore', 'nextscore', 'probability', 'auc_intensity', 'protein']"
PXD026629,20180831YLJ-H6h-01.ipc,13300,27,1014,2126,7.62,15.98,"['index', 'scan', 'header', 'rt', 'frag_type', 'collision_energy', 'precursor_mz', 'precursor_charge', 'precursor_intensity', 'lower_offset', 'upper_offset', 'isolation_target', 'mz', 'intensity', 'scale_factor', 'peptide', 'modified_peptide', 'peptide_observed_mz', 'peptide_calc_mz', 'delta_mass', 'retention', 'expectation', 'hyperscore', 'nextscore', 'probability', 'auc_intensity', 'protein']"
PXD026629,20180831YLJ-H6h-02.ipc,13363,27,996,2341,7.45,17.52,"['index', 'scan', 'header', 'rt', 'frag_type', 'collision_energy', 'precursor_mz', 'precursor_charge', 'precursor_intensity', 'lower_offset', 'upper_offset', 'isolation_target', 'mz', 'intensity', 'scale_factor', 'peptide', 'modified_peptide', 'peptide_observed_mz', 'peptide_calc_mz', 'delta_mass', 'retention', 'expectation', 'hyperscore', 'nextscore', 'probability', 'auc_intensity', 'protein']"
PXD026629,YangLuJie-LPS4h-2.ipc,12159,27,1444,2338,11.88,19.23,"['index', 'scan', 'header', 'rt', 'frag_type', 'collision_energy', 'precursor_mz', 'precursor_charge', 'precursor_intensity', 'lower_offset', 'upper_offset', 'isolation_target', 'mz', 'intensity', 'scale_factor', 'peptide', 'modified_peptide', 'peptide_observed_mz', 'peptide_calc_mz', 'delta_mass', 'retention', 'expectation', 'hyperscore', 'nextscore', 'probability', 'auc_intensity', 'protein']"
PXD026629,20180831YLJ-H4h-02.ipc,14832,27,1096,2468,7.39,16.64,"['index', 'scan', 'header', 'rt', 'frag_type', 'collision_energy', 'precursor_mz', 'precursor_charge', 'precursor_intensity', 'lower_offset', 'upper_offset', 'isolation_target', 'mz', 'intensity', 'scale_factor', 'peptide', 'modified_peptide', 'peptide_observed_mz', 'peptide_calc_mz', 'delta_mass', 'retention', 'expectation', 'hyperscore', 'nextscore', 'probability', 'auc_intensity', 'protein']"
PXD026629,20180904YLJ-VSV6h-01.ipc,14598,27,2067,3332,14.16,22.83,"['index', 'scan', 'header', 'rt', 'frag_type', 'collision_energy', 'precursor_mz', 'precursor_charge', 'precursor_intensity', 'lower_offset', 'upper_offset', 'isolation_target', 'mz', 'intensity', 'scale_factor', 'peptide', 'modified_peptide', 'peptide_observed_mz', 'peptide_calc_mz', 'delta_mass', 'retention', 'expectation', 'hyperscore', 'nextscore', 'probability', 'auc_intensity', 'protein']"
PXD026629,YangLuJie-LPS8h-2.ipc,13334,27,1700,2329,12.75,17.47,"['index', 'scan', 'header', 'rt', 'frag_type', 'collision_energy', 'precursor_mz', 'precursor_charge', 'precursor_intensity', 'lower_offset', 'upper_offset', 'isolation_target', 'mz', 'intensity', 'scale_factor', 'peptide', 'modified_peptide', 'peptide_observed_mz', 'peptide_calc_mz', 'delta_mass', 'retention', 'expectation', 'hyperscore', 'nextscore', 'probability', 'auc_intensity', 'protein']"
PXD026629,20180831YLJ-H0h-01.ipc,14194,27,1359,2361,9.57,16.63,"['index', 'scan', 'header', 'rt', 'frag_type', 'collision_energy', 'precursor_mz', 'precursor_charge', 'precursor_intensity', 'lower_offset', 'upper_offset', 'isolation_target', 'mz', 'intensity', 'scale_factor', 'peptide', 'modified_peptide', 'peptide_observed_mz', 'peptide_calc_mz', 'delta_mass', 'retention', 'expectation', 'hyperscore', 'nextscore', 'probability', 'auc_intensity', 'protein']"
PXD026629,YangLuJie-M0-3.ipc,15028,27,1957,2593,13.02,17.25,"['index', 'scan', 'header', 'rt', 'frag_type', 'collision_energy', 'precursor_mz', 'precursor_charge', 'precursor_intensity', 'lower_offset', 'upper_offset', 'isolation_target', 'mz', 'intensity', 'scale_factor', 'peptide', 'modified_peptide', 'peptide_observed_mz', 'peptide_calc_mz', 'delta_mass', 'retention', 'expectation', 'hyperscore', 'nextscore', 'probability', 'auc_intensity', 'protein']"
PXD026629,20180904YLJ-VSV4h-03.ipc,14910,27,1858,3286,12.46,22.04,"['index', 'scan', 'header', 'rt', 'frag_type', 'collision_energy', 'precursor_mz', 'precursor_charge', 'precursor_intensity', 'lower_offset', 'upper_offset', 'isolation_target', 'mz', 'intensity', 'scale_factor', 'peptide', 'modified_peptide', 'peptide_observed_mz', 'peptide_calc_mz', 'delta_mass', 'retention', 'expectation', 'hyperscore', 'nextscore', 'probability', 'auc_intensity', 'protein']"
PXD026629,YangLuJie-M0-1.ipc,14890,27,2039,2558,13.69,17.18,"['index', 'scan', 'header', 'rt', 'frag_type', 'collision_energy', 'precursor_mz', 'precursor_charge', 'precursor_intensity', 'lower_offset', 'upper_offset', 'isolation_target', 'mz', 'intensity', 'scale_factor', 'peptide', 'modified_peptide', 'peptide_observed_mz', 'peptide_calc_mz', 'delta_mass', 'retention', 'expectation', 'hyperscore', 'nextscore', 'probability', 'auc_intensity', 'protein']"
PXD026629,YangLuJie-LPS4h-3.ipc,12230,27,1515,2348,12.39,19.2,"['index', 'scan', 'header', 'rt', 'frag_type', 'collision_energy', 'precursor_mz', 'precursor_charge', 'precursor_intensity', 'lower_offset', 'upper_offset', 'isolation_target', 'mz', 'intensity', 'scale_factor', 'peptide', 'modified_peptide', 'peptide_observed_mz', 'peptide_calc_mz', 'delta_mass', 'retention', 'expectation', 'hyperscore', 'nextscore', 'probability', 'auc_intensity', 'protein']"
PXD026629,20180831YLJ-H0h-02.ipc,13881,27,1301,2280,9.37,16.43,"['index', 'scan', 'header', 'rt', 'frag_type', 'collision_energy', 'precursor_mz', 'precursor_charge', 'precursor_intensity', 'lower_offset', 'upper_offset', 'isolation_target', 'mz', 'intensity', 'scale_factor', 'peptide', 'modified_peptide', 'peptide_observed_mz', 'peptide_calc_mz', 'delta_mass', 'retention', 'expectation', 'hyperscore', 'nextscore', 'probability', 'auc_intensity', 'protein']"
PXD026629,20180904YLJ-VSV0h-01.ipc,14621,27,1797,3023,12.29,20.68,"['index', 'scan', 'header', 'rt', 'frag_type', 'collision_energy', 'precursor_mz', 'precursor_charge', 'precursor_intensity', 'lower_offset', 'upper_offset', 'isolation_target', 'mz', 'intensity', 'scale_factor', 'peptide', 'modified_peptide', 'peptide_observed_mz', 'peptide_calc_mz', 'delta_mass', 'retention', 'expectation', 'hyperscore', 'nextscore', 'probability', 'auc_intensity', 'protein']"
