Split,Blacklist,Source Project,Source Count,Target Project,Target Count,Overlapped Peptides,Filename
train,yes,identity_splits_massivekb,1067866,glyco projects,44976,15499,train_blacklist_overlap_identity_splits_massivekb_from_kevin_1067866_with_glyco_projects_44976_found_15499.csv
train,yes,identity_splits_phospho,52060,glyco projects,44976,15115,train_blacklist_overlap_identity_splits_phospho_from_kevin_52060_with_glyco_projects_44976_found_15115.csv
train,yes,identity_splits_proteome_tools,6785525,glyco projects,44976,7662,train_blacklist_overlap_identity_splits_proteome_tools_from_kevin_6785525_with_glyco_projects_44976_found_7662.csv
train,no,identity_splits_massivekb,1067866,glyco projects,44976,15499,train_overlap_identity_splits_massivekb_from_kevin_1067866_with_glyco_projects_44976_found_15499.csv
train,no,identity_splits_phospho,52060,glyco projects,44976,15115,train_overlap_identity_splits_phospho_from_kevin_52060_with_glyco_projects_44976_found_15115.csv
train,no,identity_splits_proteome_tools,6785525,glyco projects,44976,7662,train_overlap_identity_splits_proteome_tools_from_kevin_6785525_with_glyco_projects_44976_found_7662.csv
valid,yes,identity_splits_massivekb,0,glyco projects,44976,0,valid_blacklist_overlap_identity_splits_massivekb_from_kevin_0_with_glyco_projects_44976_found_0.csv
valid,yes,identity_splits_phospho,0,glyco projects,44976,0,valid_blacklist_overlap_identity_splits_phospho_from_kevin_0_with_glyco_projects_44976_found_0.csv
valid,yes,identity_splits_proteome_tools,0,glyco projects,44976,0,valid_blacklist_overlap_identity_splits_proteome_tools_from_kevin_0_with_glyco_projects_44976_found_0.csv
valid,no,identity_splits_massivekb,13062,glyco projects,44976,495,valid_overlap_identity_splits_massivekb_from_kevin_13062_with_glyco_projects_44976_found_495.csv
valid,no,identity_splits_phospho,6629,glyco projects,44976,248,valid_overlap_identity_splits_phospho_from_kevin_6629_with_glyco_projects_44976_found_248.csv
valid,no,identity_splits_proteome_tools,37895,glyco projects,44976,521,valid_overlap_identity_splits_proteome_tools_from_kevin_37895_with_glyco_projects_44976_found_521.csv
test,yes,identity_splits_massivekb,0,glyco projects,44976,0,test_blacklist_overlap_identity_splits_massivekb_from_kevin_0_with_glyco_projects_44976_found_0.csv
test,yes,identity_splits_phospho,0,glyco projects,44976,0,test_blacklist_overlap_identity_splits_phospho_from_kevin_0_with_glyco_projects_44976_found_0.csv
test,yes,identity_splits_proteome_tools,0,glyco projects,44976,0,test_blacklist_overlap_identity_splits_proteome_tools_from_kevin_0_with_glyco_projects_44976_found_0.csv
test,no,identity_splits_massivekb,33575,glyco projects,44976,4136,test_overlap_identity_splits_massivekb_from_kevin_33575_with_glyco_projects_44976_found_4136.csv
test,no,identity_splits_phospho,13842,glyco projects,44976,650,test_overlap_identity_splits_phospho_from_kevin_13842_with_glyco_projects_44976_found_650.csv
test,no,identity_splits_proteome_tools,37695,glyco projects,44976,2489,test_overlap_identity_splits_proteome_tools_from_kevin_37695_with_glyco_projects_44976_found_2489.csv
